song,artist,chord_progression
The Man,Aloe Blacc,vi → V → IV → V
Melancholy Soldier,Antonim,vi → V → IV → V
Chaldea,Aryx,vi → V → IV → V
For A Better Day - KSHMR Remix,Avicii,vi → V → IV → V
The Ex,Billy Talent,vi → V → IV → V
Hyperballad,Bjork,vi → V → IV → V
Night Moves,Bob Seger,vi → V → IV → V
Peace of Mind,Boston,vi → V → IV → V
Map Music,Boulder Dash,vi → V → IV → V
Street Fighter Alpha - Charlie's Theme,Capcom,vi → V → IV → V
Before He Cheats,Carrie Underwood,vi → V → IV → V
Overtime,Cash Cash,vi → V → IV → V
Close To You - Re-Con Remix,Clear Vu,vi → V → IV → V
Mega Man Infamous Intent -Barbarian Plain,Deathro,vi → V → IV → V
Allusion World,Dung Truong,vi → V → IV → V
Rejoice,Dustin Kensrue,vi → V → IV → V
Pjanoo,Eric Prydz,vi → V → IV → V
America's Suitehearts,Fall Out Boy,vi → V → IV → V
Only My Railgun,fripSide,vi → V → IV → V
The City Is Mine,Garmiani and Salvatore Ganacci,vi → V → IV → V
Somebody That I Used To Know,Gotye,vi → V → IV → V
Celestial Elixir,Haken,vi → V → IV → V
Epilogue Crysis 2 Soundtrack,Hans Zimmer,vi → V → IV → V
Wreck-It Ralph,Henry Jackman,vi → V → IV → V
Megalomachia - Way of the wind,Hiroto Saito,vi → V → IV → V
Chartreuse Rewind,Homestuck,vi → V → IV → V
Cocktails,Hot Leg,vi → V → IV → V
Muse Breaks,Infected Mushroom,vi → V → IV → V
Flashdance What A Feeling,Irene Cara,vi → V → IV → V
Code Monkey,Jonathan Coulton,vi → V → IV → V
Carry On My Wayward Son,Kansas,vi → V → IV → V
Go KK Rider,Kazumi Totaka,vi → V → IV → V
Petroleum,Kent,vi → V → IV → V
Turn Me On,Kevin Lyttle,vi → V → IV → V
Sovereign,Kevin MacLeod,vi → V → IV → V
Mega Man The Wily Wars - Wily Tower 4,Kinuyo Yamashita,vi → V → IV → V
Ys VI - Release of the Far West Ocean,Konami,vi → V → IV → V
Live for the Night,Krewella,vi → V → IV → V
Marry the Night,Lady Gaga,vi → V → IV → V
Eh Eh,Lady Gaga,vi → V → IV → V
Paparazzi Acoustic,Lady Gaga,vi → V → IV → V
Home,Madeon,vi → V → IV → V
California Dreamin',Mamas and the Papas,vi → V → IV → V
Fade To Black,Metallica,vi → V → IV → V
Treasured Soul,Michael Calfan,vi → V → IV → V
Life,MitiS,vi → V → IV → V
The Link,Motooi Sakuraba,vi → V → IV → V
Something's Wrong,myuu,vi → V → IV → V
Crystal Geode Jam,Nathan Ford,vi → V → IV → V
Deck of War - Title,Nathan Ford,vi → V → IV → V
Fearless Challenger,NIGORO,vi → V → IV → V
Final Fantasy V - Battle,Nobuo Uematsu,vi → V → IV → V
It's Raining Tacos,Parry Gripp,vi → V → IV → V
Here Comes The Flood,Peter Gabriel,vi → V → IV → V
In The Air Tonight,Phil Collins,vi → V → IV → V
Super Robot Wars - So Close Yet so Far,Quintet,vi → V → IV → V
Yuki Satellites,Radix,vi → V → IV → V
She's Not the End of the World,Reel Big Fish,vi → V → IV → V
Fairy Dang-Sing - Gekka ni Yousei wa Mau,Riko Hirai - Reina Kaihara,vi → V → IV → V
Shapes I See,Rodriguez Jr,vi → V → IV → V
Subdivisions,Rush,vi → V → IV → V
Final Fantasy Legend III - The Talon,Ryuji Sasai,vi → V → IV → V
Trust,Salia,vi → V → IV → V
Sledgehammer,Savant,vi → V → IV → V
Sonic and Knuckles - Flying Battery Zone,Sega,vi → V → IV → V
Monochrome Kiss,Sid,vi → V → IV → V
Vain,Singularity,vi → V → IV → V
Tell It To My Heart,Taylor Dayne,vi → V → IV → V
Mean,Taylor Swift,vi → V → IV → V
Style,Taylor Swift,vi → V → IV → V
Octopus's Garden,The Beatles,vi → V → IV → V
Burning For No One,The Cribs,vi → V → IV → V
Don't Look Back Into The Sun,The Libertines,vi → V → IV → V
Gimme Shelter,The Rolling Stones,vi → V → IV → V
For A Fool,The Shins,vi → V → IV → V
Come Over,Tim and Eric,vi → V → IV → V
Live Like You Were Dying,Tim McGraw,vi → V → IV → V
Undertale - Undertale,Toby Fox,vi → V → IV → V
Life is a Highway,Tom Cochrane,vi → V → IV → V
Waking Dreams ft Laura Brehm,TwoThirds,vi → V → IV → V
Jag kommer,Veronica Maggio,vi → V → IV → V
I'm Still Here,Vertical Horizon,vi → V → IV → V
Stars,Vicetone,vi → V → IV → V
Shut Up and Dance,Walk The Moon,vi → V → IV → V
Iron,Within Temptation,vi → V → IV → V
Chrono Trigger - Frog's Theme,Yasunori Mitsuda,vi → V → IV → V
Megalomachia - Ultraviolet,Yousuke Yasui,vi → V → IV → V
Child of Are,ZUN,vi → V → IV → V
Last Occultism - Esotericist of the Present World,ZUN,vi → V → IV → V
Eternal Shrine Maiden,ZUN,vi → V → IV → V
Plastic Mind,ZUN,vi → V → IV → V
A World of Nightmares Never Seen Before,ZUN,vi → V → IV → V
Rock Club,Anamanaguchi,vi → V → IV → V
Heaven Piercing Giga Drill,Area 11,vi → V → IV → V
Virgo,Au5,vi → V → IV → V
More Than Ever,Breathe Carolina,vi → V → IV → V
Nobody Wins,Brian Fallon,vi → V → IV → V
Word Up,Cameo,vi → V → IV → V
Making The Most Of The Night,Carly Rae Jepsen,vi → V → IV → V
Connect,ClariS,vi → V → IV → V
Over You,Daughtry,vi → V → IV → V
Golden Chords,Deakin,vi → V → IV → V
Gold Slugs,DJ Khaled,vi → V → IV → V
Come Undone,Duran Duran,vi → V → IV → V
Daniel,Elton John,vi → V → IV → V
Inis Mona,Eluveitie,vi → V → IV → V
Sleep,Eric Whitacre,vi → V → IV → V
Everywhere,Fleetwood Mac,vi → V → IV → V
Mountain At My Gates,Foals,vi → V → IV → V
No Time for Caution - Interstellar,Hans Zimmer,vi → V → IV → V
Islandsljod,Icelandic Folk,vi → V → IV → V
Wasn't Expecting That,Jamie Lawson,vi → V → IV → V
Stardust,Jay Hardway,vi → V → IV → V
June and Johnny,Jon Foreman,vi → V → IV → V
Kaleidoscope,Kasbo,vi → V → IV → V
When Darkness Falls,Killswitch Engage,vi → V → IV → V
Staying,Koda,vi → V → IV → V
Rosalina In The Observatory,Koji Kondo,vi → V → IV → V
Tal Tal Heights,Link's Awakening,vi → V → IV → V
Django Unchained Theme,Luis Bacalov,vi → V → IV → V
Innocence ft Aquillo,Madeon,vi → V → IV → V
Annie,Neon Indian,vi → V → IV → V
Fighting For My Love,Nil Lara,vi → V → IV → V
Punch Out - Fight,Nintendo,vi → V → IV → V
GBA Sky Garden - Mario Kart DS,Nintendo,vi → V → IV → V
Pallet Town,Pokemon Blue and Red,vi → V → IV → V
Stand By You,Rachel Platten,vi → V → IV → V
Be My Escape,Relient K,vi → V → IV → V
S and M,Rihanna,vi → V → IV → V
Deranged and Desperate,Saves The Day,vi → V → IV → V
Awakening Wolf's Instinct,Senpi,vi → V → IV → V
Criminal,Smiley feat Kaan,vi → V → IV → V
Jenn Je T'aime,Superbus,vi → V → IV → V
Read My Mind,The Killers,vi → V → IV → V
New York City Cops,The Strokes,vi → V → IV → V
Sky-Filling Departed Spirit - Lightning Word,Wan Wan,vi → V → IV → V
A World of Nightmares Never Seen Before,ZUN,vi → V → IV → V
Midnight Spell Card,ZUN,vi → V → IV → V
Theme of Eastern Story,ZUN,vi → V → IV → V
Faraway Voyage of 380 000 Kilometers,ZUN,vi → V → IV → V
Cemetery of Onbashira - Grave of Being,ZUN,vi → V → IV → V
Dreamy Pilot,ZUN,vi → V → IV → V
I Saw The Sign,Ace Of Base,I → IV → vi → V
Girl On Fire,Alicia Keys,I → IV → vi → V
Trauerfeier Lied,Alligatoah,I → IV → vi → V
Akira,Anamanaguchi,I → IV → vi → V
Humoresque Op 101 No 7,Antonin Dvorak,I → IV → vi → V
Complicated,Avril Lavigne,I → IV → vi → V
Big Bang Theory Theme Song,Bare Naked Ladies,I → IV → vi → V
If I Had A Million Dollars,Barenaked Ladies,I → IV → vi → V
Who Put the Bomp,Barry Mann,I → IV → vi → V
Stand By Me,Ben E King,I → IV → vi → V
Love's Made a Fool of You,Bobby Fuller Four,I → IV → vi → V
Total Eclipse of the Heart,Bonnie Tyler,I → IV → vi → V
She's Everything,Brad Paisley,I → IV → vi → V
Time Well Wasted,Brad Paisley,I → IV → vi → V
Downstream,Braid Soundtrack,I → IV → vi → V
The Quiet Things That No One Ever Knows,Brand New,I → IV → vi → V
Lucky,Britney Spears,I → IV → vi → V
Ooh La La,Britney Spears,I → IV → vi → V
Pretty Melody,Butch Walker,I → IV → vi → V
Boom Clap,Charli XCX,I → IV → vi → V
Baba Yetu,Christopher Tin,I → IV → vi → V
Escape from the City,Crush 40,I → IV → vi → V
Corridor Of Death,Damjan Mravunac,I → IV → vi → V
Let's Dance,David Bowie,I → IV → vi → V
Teenager in Love,Dion and the Belmonts,I → IV → vi → V
Deck'd,Dom Fera,I → IV → vi → V
I Only Want To Be With You,Dusty Springfield,I → IV → vi → V
Crocodile Rock,Elton John,I → IV → vi → V
Hero,Enrique Iglesias,I → IV → vi → V
May It Be,Enya,I → IV → vi → V
I'm Like A Lawyer,Fall Out Boy,I → IV → vi → V
Aspertia City,Game Freak,I → IV → vi → V
King Of Wishful Thinking,Go West,I → IV → vi → V
Minority,Green Day,I → IV → vi → V
If I knew,Helloween,I → IV → vi → V
Heart And Soul,Hoagy Carmichael,I → IV → vi → V
The Reason,Hoobastank,I → IV → vi → V
Give This Song A Title,Jacksfilms,I → IV → vi → V
Secret,Jay Chou,I → IV → vi → V
Hallelujah,Jeff Buckley,I → IV → vi → V
Closer,Joe Inoue,I → IV → vi → V
Baby,Justin Bieber,I → IV → vi → V
Renai Circulation--Bakemonogatari OP4,Kana Hanazawa-Satoru Kousaki-meg rock,I → IV → vi → V
Lambada,Kaoma,I → IV → vi → V
Do Me Good,Keith Moon,I → IV → vi → V
Ouka Ranman,KEYTALK,I → IV → vi → V
Hallelujah,Leonard Cohen,I → IV → vi → V
Anderson Cooper's Secret,LilDeuceDeuce,I → IV → vi → V
I'm A Raver,Lipstick,I → IV → vi → V
Piano Sonata No 8 ''Pathetique'' - 3rd Movement,Ludwig Van Beethoven,I → IV → vi → V
Rude,MAGIC,I → IV → vi → V
Walking in Memphis,Marc Cohn,I → IV → vi → V
All I Want For Christmas Is You,Mariah Carey,I → IV → vi → V
Unwell,Matchbox 20,I → IV → vi → V
Terrible Things,Mayday Parade,I → IV → vi → V
Leave It All To Me,Miranda Cosgrove,I → IV → vi → V
Slow Down,Myla Smith,I → IV → vi → V
In the Aeroplane Over the Sea,Neutral Milk Hotel,I → IV → vi → V
Nice Guys,nigahiga,I → IV → vi → V
Yoshi's Island - Flower Garden,Nintendo,I → IV → vi → V
Final Fantasy - Prelude,Nobuo Uematsu,I → IV → vi → V
Love is Blue,Paul Mauriat,I → IV → vi → V
Chocolate Disco,Perfume,I → IV → vi → V
The Thin Ice,Pink Floyd,I → IV → vi → V
Bust Your Knee Caps,Pomplamoose,I → IV → vi → V
Folding Chairs,Regina Spektor,I → IV → vi → V
Poor Little Fool,Ricky Nelson,I → IV → vi → V
Unchained Melody,Righteous Brothers,I → IV → vi → V
Wonderful World,Sam Cooke,I → IV → vi → V
Beautiful Girls,Sean Kingston,I → IV → vi → V
Those Magic Changes - Grease,Sha Na Na,I → IV → vi → V
Sparks,Steerner ft Corey Saxon,I → IV → vi → V
Starlight,Taylor Swift,I → IV → vi → V
Can't Stop Singing,Teen Beach Movie,I → IV → vi → V
Eternal Flame,The Bangles,I → IV → vi → V
I Should Have Known Better,The Beatles,I → IV → vi → V
Linda Linda,The Blue Hearts,I → IV → vi → V
Every Breath You Take,The Police,I → IV → vi → V
I Can't Explain,The Who,I → IV → vi → V
Doctor Worm,They Might Be Giants,I → IV → vi → V
Experimental Film,They Might Be Giants,I → IV → vi → V
For River - Piano - Johnny's Version,To The Moon,I → IV → vi → V
Courtesy of the Red White and Blue,Toby Keith,I → IV → vi → V
Left Swipe Dat,Truth,I → IV → vi → V
Brown Eyed Girl,Van Morrison,I → IV → vi → V
I Will Always Love You,Whitney Houston,I → IV → vi → V
Cemetery of Onbashira - Grave of Being,ZUN,I → IV → vi → V
Hello,Adele,I → IV → vi → V
Head Over Feet,Alanis Morissette,I → IV → vi → V
Charissa,AM Taxi,I → IV → vi → V
Mandy,Barry Manilow,I → IV → vi → V
I Am A Building,Black20 Studios,I → IV → vi → V
She's Out Of Her Mind,Blink-182,I → IV → vi → V
Liquor and Whores,Bubbles and the Shitrockers,I → IV → vi → V
This Is What You Came For ft Rihanna,Calvin Harris,I → IV → vi → V
Le Festin,Camille,I → IV → vi → V
Don't Dream It's Over,Crowded House,I → IV → vi → V
Sit Still Look Pretty,Daya,I → IV → vi → V
Out Of The Blue,Debbie Gibson,I → IV → vi → V
Body Say,Demi Lovato,I → IV → vi → V
Delicate Oooz,Emax,I → V → IV → V
Hey Julie,Fountains of Wayne,I → V → IV → V
Top Of The World,Greek Fire,I → V → IV → V
Shoplifter,Green Day,I → V → IV → V
PrimeTime ft Miguel,Janelle Monae,I → V → IV → V
Steven And The Crystal Gems,Jeff Liu,I → V → IV → V
Lost,Katy Perry,I → V → IV → V
My Life Would Suck Without You,Kelly Clarkson,I → V → IV → V
Wooden Doll,Kenshi Yonezu,I → V → IV → V
Rainbow Chicken Dance,MooseHeadMoosic,I → V → IV → V
Calendar Girl,Neil Sedaka,I → V → IV → V
Spiderwebs,No Doubt,I → V → IV → V
Playing God,Paramore,I → V → IV → V
Senpai Sucked My Ass,PewDiePie,I → V → IV → V
Si Bheag Si Mhor,Planxty,I → V → IV → V
Welcome Home,Radical Face,I → V → IV → V
Remix 10,Rhythm Heaven Fever,I → V → IV → V
Arizona,Scorpions,I → V → IV → V
Let It Happen,Tame Impala,I → V → IV → V
The Best Day,Taylor Swift,I → V → IV → V
Blank Space,Taylor Swift,I → V → IV → V
Surfer Girl,The Beach Boys,I → V → IV → V
I've Just Seen A Face,The Beatles,I → V → IV → V
No Need To Argue,The Cranberries,I → V → IV → V
Caravan,Van Morrison,I → V → IV → V
Falling For You,Weezer,I → V → IV → V
Senbonzakura,WhiteFlame,I → V → IV → V
Whataya Want from Me,Adam Lambert,I → IV → vi → V
Tanner Boyle vs the 7th Grade,AM Taxi,I → IV → vi → V
Santa Tell Me,Ariana Grande,I → IV → vi → V
One Last Time,Ariana Grande,I → IV → vi → V
Something New,Axwell and Ingrosso,I → IV → vi → V
Just Can't Get Enough,Black Eyed Peas,I → IV → vi → V
More Than A Feeling,Boston,I → IV → vi → V
Peace of Mind,Boston,I → IV → vi → V
1985,Bowling For Soup,I → IV → vi → V
Summer of 69,Bryan Adams,I → IV → vi → V
Show Me What I'm Looking For,Carolina Liar,I → IV → vi → V
That's the Way It Is,Celine Dion,I → IV → vi → V
Oath,Cher Lloyd feat Becky G,I → IV → vi → V
Made Alive,Citizens,I → IV → vi → V
Anna Begins,Counting Crows,I → IV → vi → V
Youth,Daughter,I → IV → vi → V
Home,Daughtry,I → IV → vi → V
Skyscraper,Demi Lovato,I → IV → vi → V
Stone Cold,Demi Lovato,I → IV → vi → V
Rejoice,Dustin Kensrue,I → IV → vi → V
Lost And Found,Ellie Goulding,I → IV → vi → V
Bad Girls Club,Falling In Reverse,I → IV → vi → V
She Drives Me Crazy,Fine Young Cannibals,I → IV → vi → V
Club Can't Handle Me,Flo Rida,I → IV → vi → V
Dirt,Florida Georgia Line,I → IV → vi → V
I Want To Know What Love Is,Foreigner,I → IV → vi → V
Ugly Heart,GRL,I → IV → vi → V
Don't stop being crazy,Helloween,I → IV → vi → V
Concerning Hobbits,Howard Shore,I → IV → vi → V
I Bet My Life,Imagine Dragons,I → IV → vi → V
Girls Chase Boys,Ingrid Michaelson,I → IV → vi → V
Where Are U Now feat Justin Bieber,Jack U,I → IV → vi → V
Trumpets,Jason Derulo,I → IV → vi → V
Silence,Jay Chou,I → IV → vi → V
Say,John Mayer,I → IV → vi → V
Walt Grace's Submarine Test,John Mayer,I → IV → vi → V
Hey Defriender,Jonathan Mann,I → IV → vi → V
Canciones de Amor,Julieta Venegas,I → IV → vi → V
Croc The Adventure Begins,Justin Scharvona,I → IV → vi → V
World Cup Theme,K'naan,I → IV → vi → V
Wavin' Flag,K'naan,I → IV → vi → V
Breakaway,Kelly Clarkson,I → IV → vi → V
Petroleum,Kent,I → IV → vi → V
Die Young,Kesha,I → IV → vi → V
Shatter Me,Lindsey Stirling ft Lzzy Hale,I → IV → vi → V
Bossman,Lucky Boys Confusion,I → IV → vi → V
Midnight City,M83,I → IV → vi → V
Octavia,Marcus Werner,I → IV → vi → V
Sooner Or Later,Mat Kearney,I → IV → vi → V
Unwell,Matchbox 20,I → IV → vi → V
On the Nature of Daylight,Max Richter,I → IV → vi → V
astral blast,nanobii,I → IV → vi → V
That's How You Know,Nico and Vinz,I → IV → vi → V
Dadsong,Old Spice,I → IV → vi → V
What Makes You Beautiful,One Direction,I → IV → vi → V
Good Life,One Republic,I → IV → vi → V
That Green Gentleman,Panic At The Disco,I → IV → vi → V
Lost For Words,Pink Floyd,I → IV → vi → V
Fidelity,Regina Spektor,I → IV → vi → V
Forgiven,Relient K,I → IV → vi → V
FourFiveSeconds,Rihanna And Kanye West And Paul McCartney,I → IV → vi → V
Junebug,Robert Francis,I → IV → vi → V
Call Your Girlfriend,Robyn,I → IV → vi → V
Brave,Sara Bareilles,I → IV → vi → V
Livin' On The Run,Scott Grimes,I → IV → vi → V
Other Side Of Love,Sean Paul,I → IV → vi → V
Stitches,Shawn Mendes,I → IV → vi → V
Alive,Sia,I → IV → vi → V
Dynamite,Taio Cruz,I → IV → vi → V
Stay Stay Stay,Taylor Swift,I → IV → vi → V
Dirty Little Secret,The All-American Rejects,I → IV → vi → V
Mr Brightside,The Killers,I → IV → vi → V
Ho Hey,The Lumineers,I → IV → vi → V
Stubborn Love,The Lumineers,I → IV → vi → V
New Slang,The Shins,I → IV → vi → V
Live Like You Were Dying,Tim McGraw,I → IV → vi → V
Martha,Tom Waits,I → IV → vi → V
House Of Gold,Twenty One Pilots,I → IV → vi → V
Where The Streets Have No Name,U2,I → IV → vi → V
Shut Up and Dance,Walk The Moon,I → IV → vi → V
No Sleep,Wiz Khalifa,I → IV → vi → V
Carrot For A Cock,Yogscast,I → IV → vi → V
Break Free feat - Ariana Grande,Zedd,I → IV → vi → V
Hadouken,Zeds Dead,I → IV → vi → V
Even If She Falls,Blink-182,I → IV → vi → V
Top Of The World,Greek Fire,I → IV → vi → V
Follow Me,Hardwell,I → IV → vi → V
Sweatshirt,Jacob Sartorius,I → IV → vi → V
Longing for Lullabies ft Titiyo,Kleerup,I → IV → vi → V
Rosalina In The Observatory,Koji Kondo,I → IV → vi → V
Love Like Ghosts,Lord Huron,I → IV → vi → V
Meet Me In The Woods,Lord Huron,I → IV → vi → V
True Colors,Marina and the Diamonds,I → IV → vi → V
Pumpin Blood,NONONO,I → IV → vi → V
Stitches,Shawn Mendes,I → IV → vi → V
Strong Enough,Sheryl Crow,I → IV → vi → V
Alone - Au5 and Fractal remix,Singularity,I → IV → vi → V
Summertime,The Mowgli's,I → IV → vi → V
Headache,Tiny Moving Parts,I → IV → vi → V
I Love You,Woodkid,I → IV → vi → V
How You Love Me,3LAU,I → V → IV → V
Take On Me,A-ha,I → V → IV → V
So Long,ABBA,I → V → IV → V
Counting Song,Adam Buxton,I → V → IV → V
Music of the Night,Andrew Lloyd Webber,I → V → IV → V
Russian Unicorn,Bad Lip Reading,I → V → IV → V
Somebody Loves You,Betty Who,I → V → IV → V
Lonely Is the Night,Billy Squier,I → V → IV → V
All The Small Things,Blink 182,I → V → IV → V
Hooked On A Feeling,Blue Swede,I → V → IV → V
Jessica's Theme,Bruce Rowland,I → V → IV → V
Grenade,Bruno Mars,I → V → IV → V
Everything I Do,Bryan Adams,I → V → IV → V
Acceptable in the 80's,Calvin Harris,I → V → IV → V
Keasbey Nights,Catch 22,I → V → IV → V
My Heart Will Go On,Celine Dion,I → V → IV → V
Silent Hope,Chance Thomas,I → V → IV → V
El Poeta,Chino y Nacho,I → V → IV → V
With You,Chris Brown,I → V → IV → V
Sea Of Love -Remix-,Daze,I → V → IV → V
Yee,Dinosaurs,I → V → IV → V
I'll Make A Man Out Of You,Disney,I → V → IV → V
Do Ya,Electric Light Orchestra,I → V → IV → V
Go Down In History,Four Year Strong,I → V → IV → V
The Anthem,Good Charlotte,I → V → IV → V
21 Guns,Green Day,I → V → IV → V
American Idiot,Green Day,I → V → IV → V
Minority,Green Day,I → V → IV → V
Don't Save Me,Haim,I → V → IV → V
I Know,Hank Green,I → V → IV → V
It All Makes Sense at the End,Hank Green,I → V → IV → V
MMMBop,Hanson,I → V → IV → V
Windmill,Helloween,I → V → IV → V
Wreck-It Ralph,Henry Jackman,I → V → IV → V
I Will Never Be Your Friend,Irish Stew of Sindidun,I → V → IV → V
Your Body Is A Wonderland,John Mayer,I → V → IV → V
Still Alive,Johnathan Coulton and Ellen McLain,I → V → IV → V
Re Your Brains,Jonathan Coulton,I → V → IV → V
Waking Up In Vegas,Katy Perry,I → V → IV → V
Eh Eh,Lady Gaga,I → V → IV → V
You Are A Pirate,Lazy Town,I → V → IV → V
Cooking By The Book,LazyTown,I → V → IV → V
Tangerine,Led Zeppelin,I → V → IV → V
Stairway to Heaven,Led Zeppelin,I → V → IV → V
History Of A Boring Town,Less Than Jake,I → V → IV → V
Don't Let's Talk About Lisa,Lonestar,I → V → IV → V
Mozart,Mat Zo and Arty,I → V → IV → V
3am,Matchbox 20,I → V → IV → V
Leave It With Me,MIKE and Andrew Bennett,I → V → IV → V
The Silvery Snowland,Motoi Sakuraba,I → V → IV → V
King of Carrot Flowers,Neutral Milk Hotel,I → V → IV → V
Warriors,Nicky Romero Vs Volt and State,I → V → IV → V
Squid Kid,Nintendo,I → V → IV → V
Liverty,Oyuugi Wagamama Dan x PaRADEiS,I → V → IV → V
Always,Panama,I → V → IV → V
Nom Nom Nom Nom Nom Nom Nom,Parry Gripp,I → V → IV → V
Sheep,Pink Floyd,I → V → IV → V
Sea of Voices,Porter Robiinson,I → V → IV → V
Under Pressure,Queen,I → V → IV → V
Catch of the Day,Rhythm Heaven Fever,I → V → IV → V
Latitude End - Andre Sobota Remix,Rich Curtis,I → V → IV → V
When You Say Nothing At All,Ronan Keating,I → V → IV → V
Bonnie and Clyde,Serge Gainsbourg and Brigitte Bardot,I → V → IV → V
The First Cut Is The Deepest,Sheryl Crow,I → V → IV → V
As I Lay Me Down,Sophie B Hawkins,I → V → IV → V
Before The Dive,St Lucia,I → V → IV → V
Luigi's Ballad,Starbomb,I → V → IV → V
Sparks,Steerner ft Corey Saxon,I → V → IV → V
Baby C'mon,Stephen Malkmus,I → V → IV → V
Luka,Suzanne Vega,I → V → IV → V
Dare You To Move,Switchfoot,I → V → IV → V
Style,Taylor Swift,I → V → IV → V
Everything Is Awesome,Tegan and Sara,I → V → IV → V
There She Goes,The La's,I → V → IV → V
The Package Store Petition,The Mighty Mighty Bosstones,I → V → IV → V
The Horse Shoe and the Rabbit's Foot,The Mighty Mighty Bosstones,I → V → IV → V
Dead Leaves And The Dirty Ground,The White Stripes,I → V → IV → V
You Don't Know What Love Is,The White Stripes,I → V → IV → V
Nightgown of the Sullen Moon,They Might Be Giants,I → V → IV → V
Should've Been A Cowboy,Toby Keith,I → V → IV → V
2 4 6 8 Motorway,Tom Robinson Band,I → V → IV → V
Crimson and Clover,Tommy James and The Shondells,I → V → IV → V
Give me one reason,Tracy Chapman,I → V → IV → V
Hey Soul Sister,Train,I → V → IV → V
Frame of Mind,Tristam and Braken,I → V → IV → V
A-Punk,Vampire Weekend,I → V → IV → V
Way Too Much,Wavves,I → V → IV → V
Stop Forwarding That Crap To Me,Weird Al Yankovic,I → V → IV → V
Real American,WWE,I → V → IV → V
Fairy Tail - Main Theme,Yasuharu Takanashi,I → V → IV → V
Stardust Witch Meruru - Meteo Impact,Yukari Tamura,I → V → IV → V
Tolong Jangan Nangis Bayi,ArmanArX,I → V → IV → V
Heaven is a Place on Earth,Belinda Carlisle,I → V → IV → V
The Archers Bows Have Broken,Brand New,I → V → IV → V
Wild World,Cat Stevens,I → V → IV → V
Even If It Breaks Your Heart,Eli Young Band,I → V → IV → V
Phantom Hourglass OST- The Great Sea,Hidemaro Fujibayashi,I → V → IV → V
Rosette,Le Vent du Nord,I → V → IV → V
Brain Power,Noma,I → V → IV → V
Heavy Things,Phish,I → V → IV → V
Be My Escape,Relient K,I → V → IV → V
Say You Do,Sigala,I → V → IV → V
Give Me Your Love,Sigala,I → V → IV → V
2 Become 1,Spice Girls,I → V → IV → V
Mama,Spice Girls,I → V → IV → V
Gotta Have You,The Weepies,I → V → IV → V
Hey Mickey,Toni Basil,I → V → IV → V
Waterloo,ABBA,I64 → V
I Don't Want To Miss A Thing,Aerosmith,I64 → V
Rebellion,Arcade Fire,I64 → V
Trojans,Atlas Genius,I64 → V
All for Leyna,Billy Joel,I64 → V
Bjornes Magasin,Bjorne,I64 → V
I Can't Make You Love Me,Bonnie Raitt,I64 → V
Dancing in the Dark,Bruce Springsteen,I64 → V
When I Was Your Man,Bruno Mars,I64 → V
Everything I Do,Bryan Adams,I64 → V
Rest Of Me,Callaway and Rosta,I64 → V
Organ Symphony No 3 Op 78 - If I Had Words,Camille Saint-Saens,I64 → V
Circle Of Life,Carmen Twillie,I64 → V
Here And Now,Cash Cash,I64 → V
Human Contact,Catey Shaw,I64 → V
Hard To Say Im Sorry,Chicago,I64 → V
A Thousand Years,Christina Perri,I64 → V
Khe Sanh,Cold Chisel,I64 → V
Look Back,Denzal Park feat Eyelar,I64 → V
Dimension-Reversing Dualities,DIAD,I64 → V
Hakuna Matata,Disney,I64 → V
I Can Go The Distance,Disney - Hercules,I64 → V
Part of Your World,Disney Jodi Benson,I64 → V
Your Song,Elton John,I64 → V
I Can't Help Falling In Love,Elvis Presley,I64 → V
100 Years,Five For Fighting,I64 → V
All Right Now,Free,I64 → V
We Are Young,Fun,I64 → V
Darling,Girl's Day,I64 → V
The Rock Theme,Hans Zimmer,I64 → V
Stick to the Status Quo,High School Musical,I64 → V
Bridge of Khazad-dum,Howard Shore,I64 → V
Concerning Hobbits,Howard Shore,I64 → V
Hyadain no Kakakata Kataomoi-C,Hyadain,I64 → V
Brazilian Flower,Jean Jacques Perrey,I64 → V
IBM 1401 Processing Unit,Johann Johannson,I64 → V
Re Your Brains,Jonathan Coulton,I64 → V
O Holy Night,Josh Groban,I64 → V
Faithfully,Journey,I64 → V
Battle Hymm of the Republic,Julia Howe,I64 → V
Morning Music,Konami,I64 → V
Ghosts,Lars Allertz,I64 → V
Fuck You,Lily Allen,I64 → V
Piano Sonata No 8 ''Pathetique'' - 1st Movement,Ludwig Van Beethoven,I64 → V
Symphony No 9 in D minor - 4th Movement,Ludwig Van Beethoven,I64 → V
Like A Prayer,Madonna,I64 → V
Strike Witches - Sweet Duet,Mai Kadowaki - Erika Nakai,I64 → V
Rainbow Road,Mario Kart 64,I64 → V
Dreaming in Stereo - Under The Moon,Michael Walthius,I64 → V
Easy Love,MSTRKRFT,I64 → V
These Words,Natasha Bedingfield,I64 → V
Moving In The Dark,Neon Trees,I64 → V
Rasen'nawatashi--My Spiral,NiR-Gerda,I64 → V
Dragostea Din Tei,O Zone,I64 → V
All Or Nothing,O-Town,I64 → V
Let Her Go,Passenger,I64 → V
New,Paul McCartney,I64 → V
The Final Cut,Pink Floyd,I64 → V
NiR-Gerda,Rasen'nawatashi--My Spiral,I64 → V
One For All All For One,Razihel and Virtual Riot,I64 → V
Roll With The Changes,REO Speedwagon,I64 → V
ERC Song,Ryan,I64 → V
Around My Heart,Sandra,I64 → V
