song,artist,chord_progression
Crash My Party,Luke Bryan,I → V → vi → IV
Master of the wind,Manowar,I → V → vi → IV
Eggs -Furries In A Blender RMX-,Mayhem,I → V → vi → IV
Everybody,Mike Candys,I → V → vi → IV
Wrecking Ball,Miley Cyrus,I → V → vi → IV
Push Play,Miriam Bryant,I → V → vi → IV
Storm Spirits,MistFolk,I → V → vi → IV
Torn,Natalie Imbruglia,I → V → vi → IV
ICE CREAM TRUCK,Neighborhood Annoyance,I → V → vi → IV
Just A Dream,Nelly,I → V → vi → IV
Nice Guys,nigahiga,I → V → vi → IV
A World Without Danger,Noam Kaniel,I → V → vi → IV
Dragostea Din Tei,O Zone,I → V → vi → IV
Electricity,Orchestral Manoeuvres in the Dark,I → V → vi → IV
Nothing In This World,Paris Hilton,I → V → vi → IV
Hey Mario,Patent Pending,I → V → vi → IV
Self Destruct,Pegboard Nerds,I → V → vi → IV
Razor Sharp,Pegboard Nerds and Tristam,I → V → vi → IV
Intensive Care Unit,Renard,I → V → vi → IV
Still loving you,Scorpions,I → V → vi → IV
That Don't Impress Me Much,Shania Twain,I → V → vi → IV
Higher Love,Steve Winwood,I → V → vi → IV
Your Love is a Song,Switchfoot,I → V → vi → IV
Wedding Dress,Taeyang,I → V → vi → IV
From Prying Plans into the Fire,Tamas Wells,I → V → vi → IV
Ciudad Magica,Tan Bionica,I → V → vi → IV
Love Story,Taylor Swift,I → V → vi → IV
You're Gonna Go Far Kid,The Offspring,I → V → vi → IV
Satisfied in You,the Sing Team,I → V → vi → IV
4ever,The Veronicas,I → V → vi → IV
Everything I'm Not,The Veronicas,I → V → vi → IV
We Own The Night,The Wanted,I → V → vi → IV
Ai -'ation-,UNiTE,I → V → vi → IV
Don't Trust Me,3OH3,I → V → vi → IV
Say Something,A Great Big World,I → V → vi → IV
Girl's Not Grey,AFI,I → V → vi → IV
Get Back ASAP,Alexandra Stan,I → V → vi → IV
No One,Alicia Keys,I → V → vi → IV
Phoenix,All Levels at Once,I → V → vi → IV
Willst Du,Alligatoah,I → V → vi → IV
Narben,Alligatoah,I → V → vi → IV
Forever Young,Alphaville,I → V → vi → IV
Painful Like,Austra,I → V → vi → IV
Father Told Me,Avicii,I → V → vi → IV
The Nights FIFA 15 Soundtrack,Avicii,I → V → vi → IV
The Days,Avicii,I → V → vi → IV
What Would You Do,Bastille,I → V → vi → IV
Where Is The Love,Black Eyed Peas,I → V → vi → IV
American Girl,Bonnie Mckee,I → V → vi → IV
Whiskey Lullaby,Brad Paisley and Alison Krauss,I → V → vi → IV
I Need Your Love,Calvin Harris,I → V → vi → IV
Witch Doctor,Cartoons,I → V → vi → IV
That's Falling in Love,Chelsea Ward,I → V → vi → IV
Limbo,Daddy Yankee,I → V → vi → IV
PEWDIEPIE Song,Dj Fortify,I → V → vi → IV
Cool Kids,Echosmith,I → V → vi → IV
Bailando Espanol,Enrique ft Descemer Bueno Gente De Zona,I → V → vi → IV
A Boy and a Girl,Eric Whitacre,I → V → vi → IV
Young Volcanoes,Fall Out Boy,I → V → vi → IV
Big Girls Don't Cry,Fergie,I → V → vi → IV
Whistle,Flo RIda,I → V → vi → IV
Cruise,Florida Georgia Line,I → V → vi → IV
Stacy's Mum,Fountains Of Wayne,I → V → vi → IV
Smoke Rings in the Dark,Gary Allan,I → V → vi → IV
X-Kid,Green Day,I → V → vi → IV
Boulevard of Broken Dreams,Green Day,I → V → vi → IV
Metal Gear,Harry Gregson-Williams,I → V → vi → IV
What About Love,Heart,I → V → vi → IV
Blueshift Galaxy,HertzDevil,I → V → vi → IV
Bridge of Khazad-dum,Howard Shore,I → V → vi → IV
Give This Song A Title,Jacksfilms,I → V → vi → IV
All of Me,John Legend,I → V → vi → IV
Half of My Heart,John Mayer,I → V → vi → IV
Find Yourself,John O'Callaghan ft Sarah Howells,I → V → vi → IV
Seasons of Love,Jonathan Larson,I → V → vi → IV
Breaking The Law,Judas Priest,I → V → vi → IV
Que Sera,Justice Crew,I → V → vi → IV
Runaway,Kanye West,I → V → vi → IV
Breakaway,Kelly Clarkson,I → V → vi → IV
Smooooch---Akiba-Kobo-Remix-,Kors-K--DJ-Command,I → V → vi → IV
Old Money,Lana Del Rey,I → V → vi → IV
What You Need,Les Friction,I → V → vi → IV
Sooner Or Later,Mat Kearney,I → V → vi → IV
Dreaming in Stereo - Under The Moon,Michael Walthius,I → V → vi → IV
Moonlight Shadow feat Maggie Reilly,Mike Oldfield,I → V → vi → IV
The Doctor's Theme Series 4,Murray Gold,I → V → vi → IV
Sadness and Sorrow,Naruto,I → V → vi → IV
Elements,Neo Cortex,I → V → vi → IV
Elements 2004,Neo Cortex,I → V → vi → IV
Last Of the Wilds,Nightwish,I → V → vi → IV
The Poet and the Pendulum,Nightwish,I → V → vi → IV
Ghost River,Nightwish,I → V → vi → IV
Dear Darlin,Olly Murs,I → V → vi → IV
Stop And Stare,One Republic,I → V → vi → IV
Crazy Train,Ozzy Osbourne,I → V → vi → IV
Meat Free Monday,Paul McCartney,I → V → vi → IV
Under The Bridge,Red Hot Chili Peppers,I → V → vi → IV
How To Make A Number One Song Without Talent,Roomie,I → V → vi → IV
Undo,Sanna Nielsen,I → V → vi → IV
San Francisco,Scott McKenzie,I → V → vi → IV
Whenever Wherever,Shakira,I → V → vi → IV
Bad Blood,Taylor Swift,I → V → vi → IV
Big Sky,Technikal and Nathalie,I → V → vi → IV
Dirty Little Secret,The All-American Rejects,I → V → vi → IV
Oh Darling,The Beatles,I → V → vi → IV
Wherever You Will Go,The Calling,I → V → vi → IV
At The Indie Disco,The Divine Comedy,I → V → vi → IV
The Spirit of Jazz,The Gaslight Anthem,I → V → vi → IV
The Navesink Banks,The Gaslight Anthem,I → V → vi → IV
Have Mercy,The Gaslight Anthem,I → V → vi → IV
Self Esteem,The Offspring,I → V → vi → IV
Hall of Fame,The Script,I → V → vi → IV
Red Lights,Tiesto,I → V → vi → IV
Flying Butterfly,YB,I → V → vi → IV
Clarity Vicetone Remix,Zedd-ft-Foxes,I → V → vi → IV
Hello,Adele,I → V → vi → IV
Right Here Right Now,Agnes,I → V → vi → IV
Ghost World,Aimee Mann,I → V → vi → IV
Poison,Alice Cooper,I → V → vi → IV
Vacation,Alphabeat,I → V → vi → IV
Beginning of time,Arthur,I → V → vi → IV
Broken Arrows,Avicii,I → V → vi → IV
Cowgirl,Bambee,I → V → vi → IV
The Captain,Biffy Clyro,I → V → vi → IV
Hit Da Blokk,Big Dope P,I → V → vi → IV
Give Me One Good Reason,Blink 182,I → V → vi → IV
Love To The Stars - Azora Remix,Breeze vs UFO and Lost Witness,I → V → vi → IV
Heart And Soul,Built By Titan,I → V → vi → IV
I Need Your Love,Calvin Harris,I → V → vi → IV
Caramelldansen,Caramell,I → V → vi → IV
I Really Like You,Carly Rae Jepsen,I → V → vi → IV
Good Girl,Carrie Underwood,I → V → vi → IV
Fix You,Coldplay,I → V → vi → IV
Party Join Us,Crayon Shin Chan,I → V → vi → IV
World Falls Apart - Thomas Gold Remix,Dash Berlin,I → V → vi → IV
Sea Of Love -Remix-,Daze,I → V → vi → IV
Save Tonight,Eagle Eye Cherry,I → V → vi → IV
What If,Emilie Autumn,I → V → vi → IV
Code Lyoko Theme,Franck Keller and Ygal Ama,I → V → vi → IV
Song 6,George Ezra,I → V → vi → IV
Sugaree,Grateful Dead,I → V → vi → IV
The Stable Song,Gregory Alan Isakov,I → V → vi → IV
Metal Gear,Harry Gregson-Williams,I → V → vi → IV
Fuse,Hudson Mohawke,I → V → vi → IV
I Will Never Be Your Friend,Irish Stew of Sindidun,I → V → vi → IV
Down,Jay Sean,I → V → vi → IV
Bold As Love,Jimi Hendrix,I → V → vi → IV
Sunshine,John Murphy,I → V → vi → IV
Hey Defriender,Jonathan Mann,I → V → vi → IV
Battlefield,Jordin Sparks,I → V → vi → IV
Going Through The Motions,Joss Whedon,I → V → vi → IV
Hot N Cold,Katy Perry,I → V → vi → IV
Heartbeat Song,Kelly Clarkson,I → V → vi → IV
Are You With Me,Lost Frequencies,I → V → vi → IV
Technicolor,Madeon,I → V → vi → IV
The Power Of Goodbye,Madonna,I → V → vi → IV
Au Revoir,Mark Forster feat Sido,I → V → vi → IV
She Will Be Loved,Maroon 5,I → V → vi → IV
Don't Look Down feat Usher,Martin Garrix,I → V → vi → IV
Wicked Wonderland,Martin Tungevaag,I → V → vi → IV
Land Down Under,Men At Work,I → V → vi → IV
It's a Beautiful Day,Michael Buble,I → V → vi → IV
Dragon,Miriam Bryant,I → V → vi → IV
Born,MitiS,I → V → vi → IV
Vulnerability,MitiS,I → V → vi → IV
The Imperial City,Motoi Sakuraba,I → V → vi → IV
Just A Dream,Nelly,I → V → vi → IV
Nobody Compares,One Direction,I → V → vi → IV
Night Changes,One Direction,I → V → vi → IV
Heart Attack,One Direction,I → V → vi → IV
When Can I See You Again,Owl City,I → V → vi → IV
Hey Mario,Patent Pending,I → V → vi → IV
Ner Style,Pegboard Nerds,I → V → vi → IV
Frenemies,Phineas and Ferb,I → V → vi → IV
Jessie's Girl,Rick Springfield,I → V → vi → IV
A Walk In The Shire,Rob Abernethy,I → V → vi → IV
Gone Gone Gone,Robert Plant and Alison Krauss,I → V → vi → IV
Sun Goes Down,Robin Schulz ft Jasmine Thompson,I → V → vi → IV
Uncharted,Sara Bareilles,I → V → vi → IV
Alive,Sia,I → V → vi → IV
Elastic Heart,Sia,I → V → vi → IV
I Know You - Fifty Shades Of Grey,Skylar Grey,I → V → vi → IV
Tirer des caisses,Soldat Louis,I → V → vi → IV
Sparks,Steerner ft Corey Saxon,I → V → vi → IV
The Cheat is Not Dead,Strong Bad,I → V → vi → IV
No Reason,Sum 41,I → V → vi → IV
Mean,Taylor Swift,I → V → vi → IV
Hey Boy,Teddybears,I → V → vi → IV
Beelzeboss,Tenacious D,I → V → vi → IV
Greek,Test 1,I → V → vi → IV
If I Die Young,The Band Perry,I → V → vi → IV
I Should Have Known Better,The Beatles,I → V → vi → IV
The Hero,The Electric Warehouse,I → V → vi → IV
45,The Gaslight Anthem,I → V → vi → IV
Rollin' And Tumblin',The Gaslight Anthem,I → V → vi → IV
Crush,The Horrible Crowes,I → V → vi → IV
Who's Gonna Save Us,The Living End,I → V → vi → IV
So Sad To Say,The Mighty Mighty Bosstones,I → V → vi → IV
A Jackknife to a Swan,The Mighty Mighty Bosstones,I → V → vi → IV
Fairytale of New York,The Pogues and Kirsty MacColl,I → V → vi → IV
Plastic Pop,Tomas Danko,I → V → vi → IV
toto africa,toto,I → V → vi → IV
Far Away,Tristam and Braken,I → V → vi → IV
Hymne,Vangelis,I → V → vi → IV
No One Else,Weezer,I → V → vi → IV
My Name Is Jonas,Weezer,I → V → vi → IV
Divine Sorrow,Wyclef Jean,I → V → vi → IV
Take Me Away,4 Strings,I → V → vi → IV
Hello,Adele,I → V → vi → IV
Faded,Alan Walker,I → V → vi → IV
Lass Liegen,Alligatoah,I → V → vi → IV
Melancholy Soldier,Antonim,I → V → vi → IV
DotA,Basshunter,I → V → vi → IV
Blue Moon,Beck,I → V → vi → IV
Dammit,Blink 182,I → V → vi → IV
Bored To Death,Blink 182,I → V → vi → IV
She's Out Of Her Mind,Blink-182,I → V → vi → IV
Going Away To College,Blink-182,I → V → vi → IV
Not the Sun,Brand New,I → V → vi → IV
The Archers Bows Have Broken,Brand New,I → V → vi → IV
Your Type,Carly Rae Jepsen,I → V → vi → IV
I Really Like You,Carly Rae Jepsen,I → V → vi → IV
I JUST MET YOU,carly ray,I → V → vi → IV
Streaming Heart,DECO 27,I → V → vi → IV
The One,Deuce,I → V → vi → IV
My Heart,Different Heaven,I → V → vi → IV
Nekozilla,Different Heaven,I → V → vi → IV
Be Right There,Diplo and Sleepy Tom,I → V → vi → IV
Get Your Shine On,Florida Georgia Line,I → V → vi → IV
Hey Julie,Fountains of Wayne,I → V → vi → IV
Code Lyoko Theme,Franck Keller and Ygal Ama,I → V → vi → IV
Top Of The World,Greek Fire,I → V → vi → IV
Islandsljod,Icelandic Folk,I → V → vi → IV
Sleep When We're Dead,ItaloBrothers,I → V → vi → IV
Cry Love,John Hiatt,I → V → vi → IV
Love Yourself,Justin Bieber,I → V → vi → IV
Wooden Doll,Kenshi Yonezu,I → V → vi → IV
Heavy Metal Lover,Lady Gaga,I → V → vi → IV
Second Time Around,Lady Gaga,I → V → vi → IV
Dance In The Dark,Lady Gaga,I → V → vi → IV
Angel Eyes,Love and Theft,I → V → vi → IV
Tuesday's Gone,Lynyrd Skynyrd,I → V → vi → IV
It's My Life,marny kennedy,I → V → vi → IV
Revolt,Muse,I → V → vi → IV
Dead Inside,Muse,I → V → vi → IV
HYPER DRIVE,nanobii,I → V → vi → IV
Law-Evading Rock,Neru,I → V → vi → IV
El Perdon,Nicky Jam and Enrique Iglesias,I → V → vi → IV
Amaranth,Nightwish,I → V → vi → IV
Wish I Had An Angel,Nightwish,I → V → vi → IV
Ever Dream,Nightwish,I → V → vi → IV
GBA Sky Garden - Mario Kart DS,Nintendo,I → V → vi → IV
Spiderwebs,No Doubt,I → V → vi → IV
Hula Hoop,OMI,I → V → vi → IV
Casanova,Palm Trees,I → V → vi → IV
No Cock Like Horse Cock,Pepper Coyote,I → V → vi → IV
Sweet Donuts,Perfume,I → V → vi → IV
Try,Pink,I → V → vi → IV
Forgettable,Project 46,I → V → vi → IV
Fight Song,Rachel Platten,I → V → vi → IV
Be My Escape,Relient K,I → V → vi → IV
Richard Marx - Right Here Waiting,Richard Marx,I → V → vi → IV
Right Here Waiting,Richard Marx,I → V → vi → IV
Knightlife,Riggi and Piros,I → V → vi → IV
Call Your Girlfriend,Robyn,I → V → vi → IV
Stars Come Out,Runaground and Disco Fries,I → V → vi → IV
Black Rock Shooter,ryo,I → V → vi → IV
Love Is On The Way,Saigon Kick,I → V → vi → IV
Side-Crawler's Dance,Shinichi Sakamoto,I → V → vi → IV
Break Your Heart,Taio Cruz,I → V → vi → IV
Bad Blood,Taylor Swift,I → V → vi → IV
MEMEME Final Part,Teddyloid,I → V → vi → IV
Don't Let Me Down Ft Daya,The Chainsmokers,I → V → vi → IV
Human,The Killers,I → V → vi → IV
So Lonely,The Police,I → V → vi → IV
To Know Him Is To Love Him,The Teddy Bears,I → V → vi → IV
Windfall,TheFatRat,I → V → vi → IV
Stronger Monsters,Toby Fox,I → V → vi → IV
Aenima,Tool,I → V → vi → IV
Splatfest Battle - Ink Me Up,Toru Minegishi,I → V → vi → IV
Doctor Doctor,UFO,I → V → vi → IV
Poor Places,Wilco,I → V → vi → IV
Unsteady,X Ambassadors,I → V → vi → IV
Cryin',Aerosmith,I → V → vi → iii
Sakuranbo,Ai Ootsuka,I → V → vi → iii
Love Live - Silent tonight,BiBi,I → V → vi → iii
Holding Out For A Hero,Bonnie Tyler,I → V → vi → iii
Help me ERINNNNNN,Cool and Create,I → V → vi → iii
Awaken,Dethklok,I → V → vi → iii
Rockaria,Electric Light Orchestria,I → V → vi → iii
Spectrum,Florence and the Machine,I → V → vi → iii
Basketcase,Green Day,I → V → vi → iii
